,Random_Forest,xgb_model
simple,0.09256833464326261,0.053274608585477695
undersampling_1,0.010065706696490984,0.029808374733853792
undersampling_3,0.02845167026546425,0.07917645433190547
undersampling_5,0.027379325581585647,0.03852506861734497
smote_1,0.0030358227079538558,0.020568688483216958
smote_3,0.006263048016701462,0.018605321987452222
smote_5,0.003938200545289306,0.026839119259969915
